model RSP_Z RSP_X RSP_mass RSP_L RSP_Teff
576 0.004 0.74 14.6 75725.0 5150.0
577 0.004 0.74 14.6 75725.0 5200.0
578 0.004 0.74 14.6 76050.0 4400.0
579 0.004 0.74 14.6 76050.0 4450.0
580 0.004 0.74 14.6 76050.0 4500.0
581 0.004 0.74 14.6 76050.0 4550.0
582 0.004 0.74 14.6 76050.0 4600.0
583 0.004 0.74 14.6 76050.0 4650.0
584 0.004 0.74 14.6 76050.0 4700.0
585 0.004 0.74 14.6 76050.0 4750.0
586 0.004 0.74 14.6 76050.0 4800.0
587 0.004 0.74 14.6 76050.0 4850.0
588 0.004 0.74 14.6 76050.0 4900.0
589 0.004 0.74 14.6 76050.0 4950.0
590 0.004 0.74 14.6 76050.0 5000.0
591 0.004 0.74 14.6 76050.0 5050.0
592 0.004 0.74 14.6 76050.0 5100.0
593 0.004 0.74 14.6 76050.0 5150.0
594 0.004 0.74 14.6 76050.0 5200.0
595 0.004 0.74 14.6 76375.0 4400.0
596 0.004 0.74 14.6 76375.0 4450.0
597 0.004 0.74 14.6 76375.0 4500.0
598 0.004 0.74 14.6 76375.0 4550.0
599 0.004 0.74 14.6 76375.0 4600.0
600 0.004 0.74 14.6 76375.0 4650.0
601 0.004 0.74 14.6 76375.0 4700.0
602 0.004 0.74 14.6 76375.0 4750.0
603 0.004 0.74 14.6 76375.0 4800.0
604 0.004 0.74 14.6 76375.0 4850.0
605 0.004 0.74 14.6 76375.0 4900.0
606 0.004 0.74 14.6 76375.0 4950.0
607 0.004 0.74 14.6 76375.0 5000.0
608 0.004 0.74 14.6 76375.0 5050.0
609 0.004 0.74 14.6 76375.0 5100.0
610 0.004 0.74 14.6 76375.0 5150.0
611 0.004 0.74 14.6 76375.0 5200.0
612 0.004 0.74 14.7 76700.0 4400.0
613 0.004 0.74 14.7 76700.0 4450.0
614 0.004 0.74 14.7 76700.0 4500.0
615 0.004 0.74 14.7 76700.0 4550.0
616 0.004 0.74 14.7 76700.0 4600.0
617 0.004 0.74 14.7 76700.0 4650.0
618 0.004 0.74 14.7 76700.0 4700.0
619 0.004 0.74 14.7 76700.0 4750.0
620 0.004 0.74 14.7 76700.0 4800.0
621 0.004 0.74 14.7 76700.0 4850.0
622 0.004 0.74 14.7 76700.0 4900.0
623 0.004 0.74 14.7 76700.0 4950.0
624 0.004 0.74 14.7 76700.0 5000.0
625 0.004 0.74 14.7 76700.0 5050.0
626 0.004 0.74 14.7 76700.0 5100.0
627 0.004 0.74 14.7 76700.0 5150.0
628 0.004 0.74 14.7 76700.0 5200.0
629 0.004 0.74 14.7 77025.0 4400.0
630 0.004 0.74 14.7 77025.0 4450.0
631 0.004 0.74 14.7 77025.0 4500.0
632 0.004 0.74 14.7 77025.0 4550.0
633 0.004 0.74 14.7 77025.0 4600.0
634 0.004 0.74 14.7 77025.0 4650.0
635 0.004 0.74 14.7 77025.0 4700.0
636 0.004 0.74 14.7 77025.0 4750.0
637 0.004 0.74 14.7 77025.0 4800.0
638 0.004 0.74 14.7 77025.0 4850.0
639 0.004 0.74 14.7 77025.0 4900.0
640 0.004 0.74 14.7 77025.0 4950.0
641 0.004 0.74 14.7 77025.0 5000.0
642 0.004 0.74 14.7 77025.0 5050.0
643 0.004 0.74 14.7 77025.0 5100.0
644 0.004 0.74 14.7 77025.0 5150.0
645 0.004 0.74 14.7 77025.0 5200.0
646 0.004 0.74 14.7 77350.0 4400.0
647 0.004 0.74 14.7 77350.0 4450.0
648 0.004 0.74 14.7 77350.0 4500.0
649 0.004 0.74 14.7 77350.0 4550.0
650 0.004 0.74 14.7 77350.0 4600.0
651 0.004 0.74 14.7 77350.0 4650.0
652 0.004 0.74 14.7 77350.0 4700.0
653 0.004 0.74 14.7 77350.0 4750.0
654 0.004 0.74 14.7 77350.0 4800.0
655 0.004 0.74 14.7 77350.0 4850.0
656 0.004 0.74 14.7 77350.0 4900.0
657 0.004 0.74 14.7 77350.0 4950.0
658 0.004 0.74 14.7 77350.0 5000.0
659 0.004 0.74 14.7 77350.0 5050.0
660 0.004 0.74 14.7 77350.0 5100.0
661 0.004 0.74 14.7 77350.0 5150.0
662 0.004 0.74 14.7 77350.0 5200.0
663 0.004 0.74 14.7 77675.0 4400.0
664 0.004 0.74 14.7 77675.0 4450.0
665 0.004 0.74 14.7 77675.0 4500.0
666 0.004 0.74 14.7 77675.0 4550.0
667 0.004 0.74 14.7 77675.0 4600.0
668 0.004 0.74 14.7 77675.0 4650.0
669 0.004 0.74 14.7 77675.0 4700.0
670 0.004 0.74 14.7 77675.0 4750.0
671 0.004 0.74 14.7 77675.0 4800.0
672 0.004 0.74 14.7 77675.0 4850.0
673 0.004 0.74 14.7 77675.0 4900.0
674 0.004 0.74 14.7 77675.0 4950.0
675 0.004 0.74 14.7 77675.0 5000.0
676 0.004 0.74 14.7 77675.0 5050.0
677 0.004 0.74 14.7 77675.0 5100.0
678 0.004 0.74 14.7 77675.0 5150.0
679 0.004 0.74 14.7 77675.0 5200.0
680 0.004 0.74 14.8 78000.0 4400.0
681 0.004 0.74 14.8 78000.0 4450.0
682 0.004 0.74 14.8 78000.0 4500.0
683 0.004 0.74 14.8 78000.0 4550.0
684 0.004 0.74 14.8 78000.0 4600.0
685 0.004 0.74 14.8 78000.0 4650.0
686 0.004 0.74 14.8 78000.0 4700.0
687 0.004 0.74 14.8 78000.0 4750.0
688 0.004 0.74 14.8 78000.0 4800.0
689 0.004 0.74 14.8 78000.0 4850.0
690 0.004 0.74 14.8 78000.0 4900.0
691 0.004 0.74 14.8 78000.0 4950.0
692 0.004 0.74 14.8 78000.0 5000.0
693 0.004 0.74 14.8 78000.0 5050.0
694 0.004 0.74 14.8 78000.0 5100.0
695 0.004 0.74 14.8 78000.0 5150.0
696 0.004 0.74 14.8 78000.0 5200.0
