model RSP_Z RSP_X RSP_mass RSP_L RSP_Teff
132 0.004 0.74 13.9 67275.0 5050.0
133 0.004 0.74 13.9 67275.0 5100.0
134 0.004 0.74 13.9 67275.0 5150.0
135 0.004 0.74 13.9 67275.0 5200.0
136 0.004 0.74 14.0 67600.0 4400.0
137 0.004 0.74 14.0 67600.0 4450.0
138 0.004 0.74 14.0 67600.0 4500.0
139 0.004 0.74 14.0 67600.0 4550.0
140 0.004 0.74 14.0 67600.0 4600.0
141 0.004 0.74 14.0 67600.0 4650.0
142 0.004 0.74 14.0 67600.0 4700.0
143 0.004 0.74 14.0 67600.0 4750.0
144 0.004 0.74 14.0 67600.0 4800.0
145 0.004 0.74 14.0 67600.0 4850.0
146 0.004 0.74 14.0 67600.0 4900.0
147 0.004 0.74 14.0 67600.0 4950.0
148 0.004 0.74 14.0 67600.0 5000.0
149 0.004 0.74 14.0 67600.0 5050.0
150 0.004 0.74 14.0 67600.0 5100.0
151 0.004 0.74 14.0 67600.0 5150.0
152 0.004 0.74 14.0 67600.0 5200.0
153 0.004 0.74 14.0 67925.0 4400.0
154 0.004 0.74 14.0 67925.0 4450.0
155 0.004 0.74 14.0 67925.0 4500.0
156 0.004 0.74 14.0 67925.0 4550.0
157 0.004 0.74 14.0 67925.0 4600.0
158 0.004 0.74 14.0 67925.0 4650.0
159 0.004 0.74 14.0 67925.0 4700.0
160 0.004 0.74 14.0 67925.0 4750.0
161 0.004 0.74 14.0 67925.0 4800.0
162 0.004 0.74 14.0 67925.0 4850.0
163 0.004 0.74 14.0 67925.0 4900.0
164 0.004 0.74 14.0 67925.0 4950.0
165 0.004 0.74 14.0 67925.0 5000.0
166 0.004 0.74 14.0 67925.0 5050.0
167 0.004 0.74 14.0 67925.0 5100.0
168 0.004 0.74 14.0 67925.0 5150.0
169 0.004 0.74 14.0 67925.0 5200.0
170 0.004 0.74 14.0 68250.0 4400.0
171 0.004 0.74 14.0 68250.0 4450.0
172 0.004 0.74 14.0 68250.0 4500.0
173 0.004 0.74 14.0 68250.0 4550.0
174 0.004 0.74 14.0 68250.0 4600.0
175 0.004 0.74 14.0 68250.0 4650.0
176 0.004 0.74 14.0 68250.0 4700.0
177 0.004 0.74 14.0 68250.0 4750.0
178 0.004 0.74 14.0 68250.0 4800.0
179 0.004 0.74 14.0 68250.0 4850.0
180 0.004 0.74 14.0 68250.0 4900.0
181 0.004 0.74 14.0 68250.0 4950.0
182 0.004 0.74 14.0 68250.0 5000.0
183 0.004 0.74 14.0 68250.0 5050.0
184 0.004 0.74 14.0 68250.0 5100.0
185 0.004 0.74 14.0 68250.0 5150.0
186 0.004 0.74 14.0 68250.0 5200.0
187 0.004 0.74 14.0 68575.0 4400.0
188 0.004 0.74 14.0 68575.0 4450.0
189 0.004 0.74 14.0 68575.0 4500.0
190 0.004 0.74 14.0 68575.0 4550.0
191 0.004 0.74 14.0 68575.0 4600.0
192 0.004 0.74 14.0 68575.0 4650.0
193 0.004 0.74 14.0 68575.0 4700.0
194 0.004 0.74 14.0 68575.0 4750.0
195 0.004 0.74 14.0 68575.0 4800.0
196 0.004 0.74 14.0 68575.0 4850.0
197 0.004 0.74 14.0 68575.0 4900.0
198 0.004 0.74 14.0 68575.0 4950.0
199 0.004 0.74 14.0 68575.0 5000.0
200 0.004 0.74 14.0 68575.0 5050.0
201 0.004 0.74 14.0 68575.0 5100.0
